Colorectal cancer,,,,,ab_c
Palmitoyl sphingomyelin,HMDB0061712,CCCCCCCCCCCCCCCC(=O)N[C@@H](COP([O-])(=O)OCC[N+](C)(C)C)[C@H](O)\C=C\CCCCCCCCCCCCC,Feces,Not Specified,
Caproic acid,HMDB0000535,CCCCCC(O)=O,Feces,Not Specified,
8-Hydroxyoctanoate,HMDB0061914,OCCCCCCCC(O)=O,Feces,Not Specified,
Butyric acid,HMDB0000039,CCCC(O)=O,Feces,Not Specified,
Acetic acid,HMDB0000042,CC(O)=O,Feces,Not Specified,
Dimethylglycine,HMDB0000092,CN(C)CC(O)=O,Feces,Not Specified,
D-Glucose,HMDB0000122,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,Feces,Not Specified,
L-Glutamic acid,HMDB0000148,N[C@@H](CCC(O)=O)C(O)=O,Feces,Not Specified,
L-Alanine,HMDB0000161,C[C@H](N)C(O)=O,Feces,Not Specified,
L-Proline,HMDB0000162,OC(=O)[C@@H]1CCCN1,Feces,Not Specified,
L-Isoleucine,HMDB0000172,CC[C@H](C)[C@H](N)C(O)=O,Feces,Not Specified,
L-Lactic acid,HMDB0000190,C[C@H](O)C(O)=O,Feces,Not Specified,
Propionic acid,HMDB0000237,CCC(O)=O,Feces,Not Specified,
Succinic acid,HMDB0000254,OC(=O)CCC(O)=O,Feces,Not Specified,
L-Glutamine,HMDB0000641,N[C@@H](CCC(N)=O)C(O)=O,Feces,Not Specified,
L-Leucine,HMDB0000687,CC(C)C[C@H](N)C(O)=O,Feces,Not Specified,
L-Valine,HMDB0000883,CC(C)[C@H](N)C(O)=O,Feces,Not Specified,
"1,3-Diaminopropane",HMDB0000002,NCCCN,Feces,Not Specified,
2-Hydroxybutyric acid,HMDB0000008,CC[C@H](O)C(O)=O,Feces,Not Specified,
Deoxyuridine,HMDB0000012,OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O,Feces,Not Specified,
4-Pyridoxic acid,HMDB0000017,CC1=NC=C(CO)C(C(O)=O)=C1O,Feces,Not Specified,
alpha-Ketoisovaleric acid,HMDB0000019,CC(C)C(=O)C(O)=O,Feces,Not Specified,
p-Hydroxyphenylacetic acid,HMDB0000020,OC(=O)CC1=CC=C(O)C=C1,Feces,Not Specified,
Ureidopropionic acid,HMDB0000026,NC(=O)NCCC(O)=O,Feces,Not Specified,
Adenine,HMDB0000034,NC1=C2NC=NC2=NC=N1,Feces,Not Specified,
Taurocholic acid,HMDB0000036,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O,Feces,Not Specified,
Dihydrobiopterin,HMDB0000038,C[C@H](O)[C@H](O)C1=NC2=C(NC1)NC(N)=NC2=O,Feces,Not Specified,
Bilirubin,HMDB0000054,CC1=C(C=C)\C(NC1=O)=C\C1=C(C)C(CCC(O)=O)=C(CC2=C(CCC(O)=O)C(C)=C(N2)\C=C2/NC(=O)C(C=C)=C2C)N1,Feces,Not Specified,
beta-Alanine,HMDB0000056,NCCC(O)=O,Feces,Not Specified,
L-Carnitine,HMDB0000062,C[N+](C)(C)C[C@H](O)CC([O-])=O,Feces,Not Specified,
Cholesterol,HMDB0000067,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,Feces,Not Specified,
Pipecolic acid,HMDB0000070,OC(=O)C1CCCCN1,Feces,Not Specified,
Deoxyinosine,HMDB0000071,OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1N=CNC2=O,Feces,Not Specified,
Deoxyguanosine,HMDB0000085,NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)N1,Feces,Not Specified,
Cytidine,HMDB0000089,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Feces,Not Specified,
Citric acid,HMDB0000094,OC(=O)CC(O)(CC(O)=O)C(O)=O,Feces,Not Specified,
D-Xylose,HMDB0000098,O[C@@H]1COC(O)[C@H](O)[C@H]1O,Feces,Not Specified,
gamma-Aminobutyric acid,HMDB0000112,NCCCC(O)=O,Feces,Not Specified,
Glycolic acid,HMDB0000115,OCC(O)=O,Feces,Not Specified,
D-Glucose,HMDB0000122,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,Feces,Not Specified,
Glycine,HMDB0000123,NCC(O)=O,Feces,Not Specified,
Glycerol 3-phosphate,HMDB0000126,OC[C@@H](O)COP(O)(O)=O,Feces,Not Specified,
Glycerol,HMDB0000131,OCC(O)CO,Feces,Not Specified,
Guanine,HMDB0000132,NC1=NC(=O)C2=C(N1)N=CN2,Feces,Not Specified,
Guanosine,HMDB0000133,NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1,Feces,Not Specified,
Fumaric acid,HMDB0000134,OC(=O)\C=C\C(O)=O,Feces,Not Specified,
Glycocholic acid,HMDB0000138,C[C@H](CCC(O)=NCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,Feces,Not Specified,
Glyceric acid,HMDB0000139,OC[C@@H](O)C(O)=O,Feces,Not Specified,
D-Galactose,HMDB0000143,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O,Feces,Not Specified,
L-Glutamic acid,HMDB0000148,N[C@@H](CCC(O)=O)C(O)=O,Feces,Not Specified,
Ethanolamine,HMDB0000149,NCCO,Feces,Not Specified,
Gentisic acid,HMDB0000152,OC(=O)C1=C(O)C=CC(O)=C1,Feces,Not Specified,
Malic acid,HMDB0000156,O[C@@H](CC(O)=O)C(O)=O,Feces,Not Specified,
Hypoxanthine,HMDB0000157,OC1=NC=NC2=C1NC=N2,Feces,Not Specified,
L-Tyrosine,HMDB0000158,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,Feces,Not Specified,
L-Phenylalanine,HMDB0000159,N[C@@H](CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
L-Alanine,HMDB0000161,C[C@H](N)C(O)=O,Feces,Not Specified,
L-Proline,HMDB0000162,OC(=O)[C@@H]1CCCN1,Feces,Not Specified,
D-Maltose,HMDB0000163,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,Feces,Not Specified,
L-Threonine,HMDB0000167,C[C@@H](O)[C@H](N)C(O)=O,Feces,Not Specified,
D-Mannose,HMDB0000169,OC[C@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O,Feces,Not Specified,
L-Isoleucine,HMDB0000172,CC[C@H](C)[C@H](N)C(O)=O,Feces,Not Specified,
L-Fucose,HMDB0000174,C[C@@H]1O[C@@H](O)[C@@H](O)[C@H](O)[C@@H]1O,Feces,Not Specified,
L-Histidine,HMDB0000177,N[C@@H](CC1=CN=CN1)C(O)=O,Feces,Not Specified,
L-Lysine,HMDB0000182,NCCCC[C@H](N)C(O)=O,Feces,Not Specified,
L-Serine,HMDB0000187,N[C@@H](CO)C(O)=O,Feces,Not Specified,
L-Lactic acid,HMDB0000190,C[C@H](O)C(O)=O,Feces,Not Specified,
L-Aspartic acid,HMDB0000191,N[C@@H](CC(O)=O)C(O)=O,Feces,Not Specified,
Inosine,HMDB0000195,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(O)N=CN=C12,Feces,Not Specified,
Indoleacetic acid,HMDB0000197,OC(=O)CC1=CNC2=C1C=CC=C2,Feces,Not Specified,
N6-Acetyl-L-lysine,HMDB0000206,CC(=O)NCCCC[C@H](N)C(O)=O,Feces,Not Specified,
Oleic acid,HMDB0000207,CCCCCCCC\C=C/CCCCCCCC(O)=O,Feces,Not Specified,
Oxoglutaric acid,HMDB0000208,OC(=O)CCC(=O)C(O)=O,Feces,Not Specified,
Phenylacetic acid,HMDB0000209,OC(=O)CC1=CC=CC=C1,Feces,Not Specified,
Pantothenic acid,HMDB0000210,CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O,Feces,Not Specified,
myo-Inositol,HMDB0000211,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O,Feces,Not Specified,
N-Acetylgalactosamine,HMDB0000212,CC(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@H](O)[C@@H]1O,Feces,Not Specified,
myo-Inositol 1-phosphate,HMDB0000213,O[C@H]1[C@H](O)[C@@H](O)[C@H](OP(O)(O)=O)[C@H](O)[C@@H]1O,Feces,Not Specified,
N-Acetyl-D-glucosamine,HMDB0000215,CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,Feces,Not Specified,
Palmitic acid,HMDB0000220,CCCCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
Orotic acid,HMDB0000226,OC(=O)C1=CC(=O)NC(=O)N1,Feces,Not Specified,
N-Acetylneuraminic acid,HMDB0000230,[H][C@]1(O[C@@](O)(C[C@H](O)[C@H]1NC(C)=O)C(O)=O)[C@H](O)[C@H](O)CO,Feces,Not Specified,
Riboflavin,HMDB0000244,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,Feces,Not Specified,
Taurine,HMDB0000251,NCCS(O)(=O)=O,Feces,Not Specified,
Sphingosine,HMDB0000252,CCCCCCCCCCCCC\C=C\[C@@H](O)[C@@H](N)CO,Feces,Not Specified,
Succinic acid,HMDB0000254,OC(=O)CCC(O)=O,Feces,Not Specified,
Squalene,HMDB0000256,CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C=C(/C)CC\C=C(/C)CCC=C(C)C,Feces,Not Specified,
Sucrose,HMDB0000258,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,Feces,Not Specified,
Serotonin,HMDB0000259,NCCC1=CNC2=C1C=C(O)C=C2,Feces,Not Specified,
Thymine,HMDB0000262,CC1=CNC(=O)NC1=O,Feces,Not Specified,
Pyroglutamic acid,HMDB0000267,OC(=O)[C@@H]1CCC(=O)N1,Feces,Not Specified,
Sphinganine,HMDB0000269,CCCCCCCCCCCCCCC[C@@H](O)[C@@H](N)CO,Feces,Not Specified,
Thymidine,HMDB0000273,CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O,Feces,Not Specified,
D-Ribose,HMDB0000283,OC[C@H]1OC(O)[C@H](O)[C@@H]1O,Feces,Not Specified,
Uric acid,HMDB0000289,O=C1NC2=C(N1)C(=O)NC(=O)N2,Feces,Not Specified,
Xanthine,HMDB0000292,O=C1NC2=C(NC=N2)C(=O)N1,Feces,Not Specified,
Uridine,HMDB0000296,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O,Feces,Not Specified,
Uracil,HMDB0000300,O=C1NC=CC(=O)N1,Feces,Not Specified,
Urocanic acid,HMDB0000301,OC(=O)\C=C\C1=CNC=N1,Feces,Not Specified,
Tryptamine,HMDB0000303,NCCC1=CNC2=C1C=CC=C2,Feces,Not Specified,
Tyramine,HMDB0000306,NCCC1=CC=C(O)C=C1,Feces,Not Specified,
2-Hydroxy-3-methylpentanoic acid,HMDB0000317,CC[C@@H](C)[C@@H](O)C(O)=O,Feces,Not Specified,
2-Hydroxyadipic acid,HMDB0000321,OC(CCCC(O)=O)C(O)=O,Feces,Not Specified,
3-Hydroxysuberic acid,HMDB0000325,OC(CCCCC(O)=O)CC(O)=O,Feces,Not Specified,
3-Hydroxybutyric acid,HMDB0000011,C[C@@H](O)CC(O)=O,Feces,Not Specified,
Epiandrosterone,HMDB0000365,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2C[C@@H](O)CC[C@]12C,Feces,Not Specified,
3-(3-Hydroxyphenyl)propanoic acid,HMDB0000375,OC(=O)CCC1=CC(O)=CC=C1,Feces,Not Specified,
7-Ketodeoxycholic acid,HMDB0000391,[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)[C@@H](O)C[C@@]1([H])[C@@]2([H])C(=O)C[C@]2([H])C[C@H](O)CC[C@]12C,Feces,Not Specified,
"3,7-Dihydroxy-12-oxocholanoic acid",HMDB0000400,[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)C(=O)C[C@@]1([H])[C@@]2([H])[C@H](O)C[C@]2([H])C[C@H](O)CC[C@]12C,Feces,Not Specified,
2-Hydroxy-3-methylbutyric acid,HMDB0000407,CC(C)C(O)C(O)=O,Feces,Not Specified,
"3a,6b,7b-Trihydroxy-5b-cholanoic acid",HMDB0000415,[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@H](O)[C@@H](O)[C@]2([H])C[C@H](O)CC[C@]12C,Feces,Not Specified,
"3D,7D,11D-Phytanic acid",HMDB0000417,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@@H](C)CC(O)=O,Feces,Not Specified,
"3,4-Dihydroxyhydrocinnamic acid",HMDB0000423,OC(=O)CCC1=CC(O)=C(O)C=C1,Feces,Not Specified,
3-Hydroxyphenylacetic acid,HMDB0000440,OC(=O)CC1=CC(O)=CC=C1,Feces,Not Specified,
N-alpha-Acetyl-L-lysine,HMDB0000446,CC(=O)N[C@@H](CCCCN)C(O)=O,Feces,Not Specified,
Adipic acid,HMDB0000448,OC(=O)CCCCC(O)=O,Feces,Not Specified,
cis-4-Hydroxycyclohexylacetic acid,HMDB0000451,OC1CCC(CC(O)=O)CC1,Feces,Not Specified,
3-Methylindole,HMDB0000466,CC1=CNC2=C1C=CC=C2,Feces,Not Specified,
Nutriacholic acid,HMDB0000467,[H][C@@]12CCC([C@@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C(=O)C[C@]2([H])C[C@H](O)CC[C@]12C,Feces,Not Specified,
Caprylic acid,HMDB0000482,CCCCCCCC(O)=O,Feces,Not Specified,
3-Methyl-2-oxovaleric acid,HMDB0000491,CC[C@H](C)C(=O)C(O)=O,Feces,Not Specified,
Stigmastanol,HMDB0000494,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,Feces,Not Specified,
3-Oxocholic acid,HMDB0000502,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])CC(=O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(O)=O,Feces,Not Specified,
Ribitol,HMDB0000508,OC[C@H](O)[C@H](O)[C@H](O)CO,Feces,Not Specified,
Capric acid,HMDB0000511,CCCCCCCCCC(O)=O,Feces,Not Specified,
N-Acetyl-L-phenylalanine,HMDB0000512,CC(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
L-Arginine,HMDB0000517,N[C@@H](CCCNC(N)=N)C(O)=O,Feces,Not Specified,
5-Hydroxyhexanoic acid,HMDB0000525,CC(O)CCCC(O)=O,Feces,Not Specified,
Arabinonic acid,HMDB0000539,OC[C@@H](O)[C@@H](O)[C@H](O)C(O)=O,Feces,Not Specified,
"3L,7D,11D-Phytanic acid",HMDB0000553,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@H](C)CC(O)=O,Feces,Not Specified,
L-Alloisoleucine,HMDB0000557,CC[C@@H](C)[C@H](N)C(O)=O,Feces,Not Specified,
L-Cysteine,HMDB0000574,N[C@@H](CS)C(O)=O,Feces,Not Specified,
5beta-Coprostanol,HMDB0000577,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,Feces,Not Specified,
gamma-Glutamylphenylalanine,HMDB0000594,N[C@@H](CCC(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O)C(O)=O,Feces,Not Specified,
Erythronic acid,HMDB0000613,OC[C@@H](O)[C@@H](O)C(O)=O,Feces,Not Specified,
Cholic acid,HMDB0000619,C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,Feces,Not Specified,
D-Ribulose,HMDB0000621,OC[C@@]1(O)OC[C@@H](O)[C@H]1O,Feces,Not Specified,
Dodecanedioic acid,HMDB0000623,OC(=O)CCCCCCCCCCC(O)=O,Feces,Not Specified,
Gluconic acid,HMDB0000625,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O,Feces,Not Specified,
Deoxycholic acid,HMDB0000626,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(O)=O,Feces,Not Specified,
Deoxycholic acid glycine conjugate,HMDB0000631,[H][C@]12CCC3C4CC[C@H]([C@H](C)CCC(=O)NCC(O)=O)[C@@]4(C)[C@@H](O)CC3[C@@]1(C)CC[C@@H](O)C2,Feces,Not Specified,
Chenodeoxycholic acid glycine conjugate,HMDB0000637,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(=O)NCC(O)=O,Feces,Not Specified,
Dodecanoic acid,HMDB0000638,CCCCCCCCCCCC(O)=O,Feces,Not Specified,
L-Glutamine,HMDB0000641,N[C@@H](CCC(N)=O)C(O)=O,Feces,Not Specified,
D-alpha-Aminobutyric acid,HMDB0000650,CC[C@@H](N)C(O)=O,Feces,Not Specified,
D-Fructose,HMDB0000660,OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O,Feces,Not Specified,
Glutaric acid,HMDB0000661,OC(=O)CCCC(O)=O,Feces,Not Specified,
Heptanoic acid,HMDB0000666,CCCCCCC(O)=O,Feces,Not Specified,
Indolelactic acid,HMDB0000671,O[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,Feces,Not Specified,
Hexadecanedioic acid,HMDB0000672,OC(=O)CCCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
Linoleic acid,HMDB0000673,CCCCC\C=C/C\C=C/CCCCCCCC(O)=O,Feces,Not Specified,
L-Leucine,HMDB0000687,CC(C)C[C@H](N)C(O)=O,Feces,Not Specified,
Isocaproic acid,HMDB0000689,CC(C)CCC(O)=O,Feces,Not Specified,
Malonic acid,HMDB0000691,OC(=O)CC(O)=O,Feces,Not Specified,
Ketoleucine,HMDB0000695,CC(C)CC(=O)C(O)=O,Feces,Not Specified,
L-Methionine,HMDB0000696,CSCC[C@H](N)C(O)=O,Feces,Not Specified,
Hydroxypropionic acid,HMDB0000700,OCCC(O)=O,Feces,Not Specified,
Aspartylphenylalanine,HMDB0000706,N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
4-Hydroxybutyric acid,HMDB0000710,OCCCC(O)=O,Feces,Not Specified,
Hydroxyoctanoic acid,HMDB0000711,CCCCCCC(O)C(O)=O,Feces,Not Specified,
Isovaleric acid,HMDB0000718,CC(C)CC(O)=O,Feces,Not Specified,
L-Homoserine,HMDB0000719,N[C@@H](CCO)C(O)=O,Feces,Not Specified,
Glycylproline,HMDB0000721,NCC(=O)N1CCC[C@H]1C(O)=O,Feces,Not Specified,
4-Hydroxyproline,HMDB0000725,O[C@H]1CN[C@@H](C1)C(O)=O,Feces,Not Specified,
alpha-Hydroxyisobutyric acid,HMDB0000729,CC(C)(O)C(O)=O,Feces,Not Specified,
Hydroxyisocaproic acid,HMDB0000746,CC(C)C[C@H](O)C(O)=O,Feces,Not Specified,
Methylglutaric acid,HMDB0000752,CC(CC(O)=O)CC(O)=O,Feces,Not Specified,
3-Hydroxyisovaleric acid,HMDB0000754,CC(C)(O)CC(O)=O,Feces,Not Specified,
Hydroxyphenyllactic acid,HMDB0000755,OC(CC1=CC=C(O)C=C1)C(O)=O,Feces,Not Specified,
Glycylleucine,HMDB0000759,CC(C)C[C@H](NC(=O)CN)C(O)=O,Feces,Not Specified,
Lithocholic acid,HMDB0000761,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O,Feces,Not Specified,
Hydrocinnamic acid,HMDB0000764,OC(=O)CCC1=CC=CC=C1,Feces,Not Specified,
N-Acetyl-L-alanine,HMDB0000766,C[C@H](NC(C)=O)C(O)=O,Feces,Not Specified,
Pseudouridine,HMDB0000767,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)C1=CNC(=O)NC1=O,Feces,Not Specified,
Nonadecanoic acid,HMDB0000772,CCCCCCCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
Phenyllactic acid,HMDB0000779,OC(CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Azelaic acid,HMDB0000784,OC(=O)CCCCCCCC(O)=O,Feces,Not Specified,
Sebacic acid,HMDB0000792,OC(=O)CCCCCCCCC(O)=O,Feces,Not Specified,
Phytanic acid,HMDB0000801,CC(C)CCCC(C)CCCC(C)CCCC(C)CC(O)=O,Feces,Not Specified,
Myristic acid,HMDB0000806,CCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
N-Butyrylglycine,HMDB0000808,CCCC(=O)NCC(O)=O,Feces,Not Specified,
N-Acetyl-L-aspartic acid,HMDB0000812,CC(=O)N[C@@H](CC(O)=O)C(O)=O,Feces,Not Specified,
Pentadecanoic acid,HMDB0000826,CCCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
Stearic acid,HMDB0000827,CCCCCCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
Pelargonic acid,HMDB0000847,CCCCCCCCC(O)=O,Feces,Not Specified,
Rhamnose,HMDB0000849,C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O,Feces,Not Specified,
beta-Sitosterol,HMDB0000852,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CC[C@@H](CC)C(C)C,Feces,Not Specified,
Formiminoglutamic acid,HMDB0000854,OC(=O)CC[C@H](NC=N)C(O)=O,Feces,Not Specified,
N-Acetyl-L-tyrosine,HMDB0000866,CC(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,Feces,Not Specified,
Histamine,HMDB0000870,NCCC1=CNC=N1,Feces,Not Specified,
Tauroursodeoxycholic acid,HMDB0000874,[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCCS(O)(=O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@H](O)CC2C[C@H](O)CC[C@]12C,Feces,Not Specified,
Trigonelline,HMDB0000875,C[N+]1=CC=CC(=C1)C([O-])=O,Feces,Not Specified,
L-Valine,HMDB0000883,CC(C)[C@H](N)C(O)=O,Feces,Not Specified,
Ribothymidine,HMDB0000884,CC1=CN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)NC1=O,Feces,Not Specified,
Undecanedioic acid,HMDB0000888,OC(=O)CCCCCCCCCC(O)=O,Feces,Not Specified,
Valeric acid,HMDB0000892,CCCCC(O)=O,Feces,Not Specified,
Suberic acid,HMDB0000893,OC(=O)CCCCCCC(O)=O,Feces,Not Specified,
Taurodeoxycholic acid,HMDB0000896,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O,Feces,Not Specified,
Citrulline,HMDB0000904,N[C@@H](CCCNC(N)=O)C(O)=O,Feces,Not Specified,
L-Tryptophan,HMDB0000929,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,Feces,Not Specified,
Behenic acid,HMDB0000944,CCCCCCCCCCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
Taurochenodesoxycholic acid,HMDB0000951,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O,Feces,Not Specified,
Ferulic acid,HMDB0000954,COC1=C(O)C=CC(\C=C\C(O)=O)=C1,Feces,Not Specified,
DL-2-Aminooctanoic acid,HMDB0000991,CCCCCCC(N)C(O)=O,Feces,Not Specified,
Biliverdin,HMDB0001008,CC1=C(C=C)\C(NC1=O)=C\C1=C(C)C(CCC(O)=O)=C(N1)\C=C1/N=C(/C=C2\NC(=O)C(C=C)=C2C)C(C)=C1CCC(O)=O,Feces,Not Specified,
Dehydroepiandrosterone sulfate,HMDB0001032,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@H](CC[C@]12C)OS(O)(=O)=O,Feces,Not Specified,
Arachidonic acid,HMDB0001043,CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,Feces,Not Specified,
N-Acetyl-L-glutamic acid,HMDB0001138,CC(=O)N[C@@H](CCC(O)=O)C(O)=O,Feces,Not Specified,
4-Trimethylammoniobutanoic acid,HMDB0001161,C[N+](C)(C)CCCC([O-])=O,Feces,Not Specified,
5-Thymidylic acid,HMDB0001227,CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)C(=O)NC1=O,Feces,Not Specified,
FAD,HMDB0001248,CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC3=C1N=CN=C3N)C1=NC(=O)NC(=O)C1=N2,Feces,Not Specified,
Spermidine,HMDB0001257,NCCCCNCCCN,Feces,Not Specified,
Diaminopimelic acid,HMDB0001370,N[C@@H](CCC[C@H](N)C(O)=O)C(O)=O,Feces,Not Specified,
alpha-Linolenic acid,HMDB0001388,CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O,Feces,Not Specified,
p-Aminobenzoic acid,HMDB0001392,NC1=CC=C(C=C1)C(O)=O,Feces,Not Specified,
Putrescine,HMDB0001414,NCCCCN,Feces,Not Specified,
Phosphate,HMDB0001429,OP(O)(O)=O,Feces,Not Specified,
Agmatine,HMDB0001432,NCCCCNC(N)=N,Feces,Not Specified,
Nicotinic acid,HMDB0001488,OC(=O)C1=CN=CC=C1,Feces,Not Specified,
gamma-Tocopherol,HMDB0001492,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=CC(O)=C(C)C(C)=C2O1,Feces,Not Specified,
7alpha-Hydroxycholesterol,HMDB0001496,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,Feces,Not Specified,
Glucosamine,HMDB0001514,N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,Feces,Not Specified,
3-Methylthiopropionic acid,HMDB0001527,CSCCC(O)=O,Feces,Not Specified,
